id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19085251,"Stunning views in spacious, historic home",3249826,Kate,Beacon Hill,North Beacon Hill,47.5859283505344,-122.31717150018532,Private room,100,2,7,2018-11-05,0.41,1,13
19085635,Beautiful Comfortable Private Bedroom for Rent,133284367,Anna,Magnolia,Southeast Magnolia,47.64283238737538,-122.38561684201613,Private room,60,3,49,2018-08-21,2.83,2,81
19085884,"Bright, Charming Queen Anne Condo",133287348,Sarah,Queen Anne,West Queen Anne,47.63513083400912,-122.36993473969541,Entire home/apt,150,3,4,2017-08-19,0.24,1,0
19094378,Seattle Sunset Penthouse on Phinney Ridge,133372066,Marie,Other neighborhoods,Fremont,47.66436256060004,-122.3607888862153,Entire home/apt,380,2,21,2018-09-15,1.20,1,329
19096739,2 private bedrooms + sofa bed in a brand new house,1206507,Ha,Ballard,West Woodland,47.66499722222113,-122.36575132310293,Private room,85,2,108,2018-11-12,6.85,1,62
19097632,"Cozy room in a modern townhouse, Great Location",60120000,Kishan,Other neighborhoods,Bitter Lake,47.72412030505732,-122.35192323183158,Private room,65,2,20,2018-10-09,1.15,2,93
19100455,"Seattle Hideaway Suite: Spacious, Private, & Comfy",4137246,Josh,Rainier Valley,Rainier Beach,47.51644145414602,-122.26579811333785,Entire home/apt,65,2,89,2018-11-04,5.32,1,133
19101813,1921 Wallingford Three Bedroom Craftsman,120292865,Eric,Other neighborhoods,Wallingford,47.64999851427321,-122.33624237665227,Entire home/apt,175,4,6,2018-09-04,0.36,1,0
19102379,Downtown Seattle Studio's 1 MA,50550045,Lilly & Mackenzie,Downtown,First Hill,47.60845854593654,-122.32886700024308,Entire home/apt,230,14,3,2018-01-01,0.21,163,137
19102493,Downtown Seattle Studio's 2 MB,50550045,Lilly & Mackenzie,Downtown,First Hill,47.60771305347087,-122.32830181658792,Entire home/apt,230,3,11,2018-06-10,0.80,163,106
19102662,Downtown Seattle Studio's 3 MC,50550045,Lilly & Mackenzie,Downtown,First Hill,47.6082354998432,-122.32871461882846,Entire home/apt,230,3,5,2018-04-01,0.35,163,99
19102744,Downtown Seattle Studio's 4 MD,50550045,Lilly & Mackenzie,Downtown,First Hill,47.60839027974313,-122.32852268751407,Entire home/apt,230,5,4,2018-06-17,0.28,163,133
19103849,Cozy Getaway or Extended Stay Near UW,5961811,Thaddaeus,Other neighborhoods,Ravenna,47.677269894315316,-122.30341289371485,Entire home/apt,100,1,13,2017-08-26,0.74,1,0
19106771,2.5 BdRm Near Lake & Airport,862329,Prez & 'Keia,Rainier Valley,Rainier Beach,47.511637841111224,-122.25506237042899,Entire home/apt,299,1,6,2017-08-19,0.35,5,365
19113550,Sweet Seattle Home (7 miles from downtown),45306047,Karen,Other neighborhoods,Greenwood,47.69544117909182,-122.34913923497307,Entire home/apt,155,4,5,2017-09-24,0.31,1,0
19115007,Serene Urban Oasis with a Private Garden and Jacuzzi,29664875,Christine,Other neighborhoods,View Ridge,47.679691084275866,-122.27738934752912,Entire home/apt,118,1,52,2018-09-22,2.97,1,164
19115736,Alki Point Paradise - Entire House,38519673,Travis,West Seattle,Alki,47.57656257871874,-122.41963736183739,Entire home/apt,600,4,26,2018-09-03,1.56,1,257
19120276,Thompson Residences- Premium Water View Residence,133615085,Megan,Downtown,Pike-Market,47.60965262577532,-122.34094190645993,Private room,590,2,71,2018-10-28,4.33,2,0
19120609,Wedgwood Dwelling,119329758,Brad & Katie,Other neighborhoods,Wedgwood,47.690833324610665,-122.28502700541841,Entire home/apt,67,2,22,2018-11-06,3.24,1,54
19121055,Ravenna Park Retreat,32708392,Thomas,University District,University District,47.670211573279374,-122.30895230788391,Entire home/apt,325,3,0,,,1,79
19121630,A Soft Place to Land in the Heart of Seattle,56754673,Amy,Capitol Hill,Stevens,47.62516449658111,-122.29723614177892,Entire home/apt,125,2,79,2018-10-01,4.59,1,132
19123486,Spacious & Private Mid-Century Modern Charmer,42251951,Jake & Korie,Delridge,Highland Park,47.5321593907595,-122.35240761514353,Entire home/apt,109,1,76,2018-10-28,4.94,1,57
19123558,West Seattle Casa,28589751,Justin,West Seattle,Fairmount Park,47.55022854381437,-122.38547973493836,Entire home/apt,264,4,4,2017-09-04,0.24,1,0
19124708,Pike & Pine Suite- Heart of the City,80739602,Colleen,Capitol Hill,Broadway,47.61413745810253,-122.32748963183948,Entire home/apt,245,2,24,2018-11-04,1.40,10,68
19135949,Seattles Sweet Spot Interbay 1 bedroom apartment,68272495,Stefanie,Interbay,Interbay,47.64837801678311,-122.37776554416314,Entire home/apt,100,1,10,2017-10-15,0.57,1,12
19137560,Pudget Ridge Get-a-way,133769021,Kalyn,Delridge,South Delridge,47.53384174563089,-122.36007559413183,Entire home/apt,80,2,51,2018-10-21,3.64,1,362
19140686,Historic U-District Studio,9768188,Staci,University District,University District,47.6586466688414,-122.3180287048219,Entire home/apt,110,5,10,2018-09-09,0.65,1,229
19141278,Historical Renovated Air-conditioned 3 bed/2 bath,45080170,Kate,Other neighborhoods,Greenwood,47.694891971198935,-122.34558787822976,Entire home/apt,270,1,19,2018-10-29,1.13,2,261
19141608,Seaview Escape,133810132,Jamie,Ballard,Sunset Hill,47.6717281917753,-122.40455144378025,Entire home/apt,205,1,5,2017-09-24,0.32,1,242
19141755,Modern guest suite in the heart of Ravenna,6431640,Yuan,Other neighborhoods,Ravenna,47.680189417115805,-122.3052835017317,Entire home/apt,68,3,28,2018-10-17,2.06,1,50
19141758,3 Bedroom Retro Apartment in North Beacon Hill,8284327,Anna,Beacon Hill,North Beacon Hill,47.573853560731074,-122.30699220823843,Entire home/apt,136,3,10,2018-10-08,0.68,7,344
19143401,Full apartment in First Hill,6441499,Julia,Downtown,Yesler Terrace,47.60598949523077,-122.32295604125342,Entire home/apt,106,1,2,2017-10-08,0.12,1,0
19144144,Beautiful Custom-Built Home in Fremont,133846191,Paul,Other neighborhoods,Fremont,47.65806224443765,-122.35007961223083,Entire home/apt,350,2,63,2018-11-04,3.65,1,155
19149347,"Walk to UW, U Village Quiet 2B/2Baths (201)",3074414,Melissa,University District,University District,47.663008708630294,-122.30393796141735,Entire home/apt,130,1,14,2018-05-27,0.80,50,180
19156136,Greenlake home,21108428,Hailey,Other neighborhoods,Green Lake,47.690064081913164,-122.33356603231753,Entire home/apt,69,1,0,,,1,0
19157420,"Center of Everything, Renovated, Cant beat it!!!",20493911,Kevin,Downtown,Belltown,47.612578196701755,-122.34481916956264,Entire home/apt,180,1,124,2018-11-10,7.45,9,241
19160311,"Mid Century Home - Cascade Views, Central Location",1826258,Anutham,Queen Anne,North Queen Anne,47.6456372681426,-122.35508654588475,Entire home/apt,150,1,6,2017-07-05,0.34,1,0
19161332,Alki Beach Bungalow: Private w/parking,133986909,"Hi, We Are Zachary & Jolie",West Seattle,Alki,47.575508343643,-122.41469756644557,Entire home/apt,92,1,182,2018-11-04,11.35,1,20
19161592,Belltown Waterfront Suite 1BD 5,8534462,Nadia,Downtown,Belltown,47.61175590567823,-122.34917396382716,Entire home/apt,219,2,3,2017-07-03,0.18,311,102
19161605,Belltown Waterfront Suite 2BD,8534462,Nadia,Downtown,Belltown,47.61326229100942,-122.34826380952049,Entire home/apt,290,2,9,2017-08-14,0.52,311,100
19161696,Seattle's Hidden Winter Gem,133990571,Stacy And Randy,Lake City,Matthews Beach,47.698833383023235,-122.28147569914644,Entire home/apt,200,2,17,2018-08-17,0.99,1,27
19164146,Fantastic ocean view! low price enjoy great view!,116699451,Julia,West Seattle,Fauntleroy,47.50515647916273,-122.3845293013609,Entire home/apt,299,2,53,2018-10-29,3.07,1,240
19175437,Studio Hotel Style Suite in the Heart of Seattle,70722023,Michael,Downtown,Central Business District,47.61241199066019,-122.33554479380877,Entire home/apt,75,2,8,2017-10-27,0.46,1,0
19179982,West Seattle Tranquil Oasis,134140947,Sally,West Seattle,Fairmount Park,47.55083375236656,-122.38540736791924,Private room,46,1,44,2018-11-09,2.54,1,365
19180196,Entire Luxury Family Home - Close to downtown!!,453540,Sid,Beacon Hill,North Beacon Hill,47.584546768948854,-122.31089494703843,Entire home/apt,400,1,3,2017-08-13,0.19,5,76
19181697,upscale downtown 1br huge balcony + views!,94689355,Danielle,Downtown,First Hill,47.612463203855725,-122.32888899034108,Entire home/apt,250,1,2,2017-06-25,0.12,2,0
19183158,Master Suite in beautiful luxury urban town home,22331281,Benjamin,Queen Anne,Lower Queen Anne,47.624700934654115,-122.36141894947062,Private room,149,1,14,2017-11-14,0.81,1,0
19188818,Fremont Pool House,131116079,Keith,Other neighborhoods,Fremont,47.66367574493727,-122.35928779116819,Private room,50,2,0,,,1,0
19192243,Room near the airport and Seattle,5179460,Amie,Other neighborhoods,South Park,47.522751080237285,-122.32388633945615,Private room,65,1,1,2017-07-12,0.06,1,0
19197655,Cute private room Magnolia Seattle,69342526,Mahdi & Delasa,Magnolia,Lawton Park,47.650833080907816,-122.38397183539587,Private room,40,1,82,2018-07-27,4.72,2,0
19198087,The Comfy Clean Bright Ground Unit by Green Lake,18668299,Rita,Other neighborhoods,Phinney Ridge,47.675304420380876,-122.355525970826,Entire home/apt,45,1,65,2018-10-27,3.89,8,318
19207340,Greenlake Charmer- Entire Home,83432804,Lisa,Northgate,North College Park,47.69088159101171,-122.33290026615768,Entire home/apt,115,2,2,2018-09-24,0.87,2,10
19210126,Colorful 1908 Craftsman Madison Valley Seattle,6281788,Dan,Central Area,Mann,47.61953448086456,-122.29692091597077,Entire home/apt,114,3,26,2018-11-12,1.51,1,82
19213509,Spacious Cape Cod Home in West Seattle,116763780,Tarah,Delridge,Riverview,47.5563998685777,-122.3547802331429,Entire home/apt,208,3,56,2018-10-21,3.30,1,330
19222993,Spacious Greenwood Mother-in-law,91214240,Bryce,Other neighborhoods,Greenwood,47.70095240469659,-122.34586187108968,Entire home/apt,89,1,43,2018-10-27,2.65,1,81
